Admin,Admin Complex,172.16.0.1,172.16.1.254,509,255.255.254.0,172.16.0.254
Library,Library,172.16.2.1,172.16.2.126,125,255.255.255.128,172.16.2.62
Computer Centre,Computer Centre,172.16.4.1,172.16.5.254,509,255.255.254.0,172.16.4.254
CLST,CLST,172.16.92.1,172.16.92.253,253,255.255.255.0,172.16.92.254
Block B,Design,172.16.16.1,172.16.17.254,509,255.255.254.0,172.16.16.254
Block A,CET,172.16.20.1,172.16.21.254,509,255.255.254.0,172.16.20.254
Block H,CSE,172.16.112.2,172.16.119.254,2047,255.255.248.0,172.16.112.1
Block G,EEE,172.16.28.1,172.16.29.253,1021,255.255.252.0,172.16.28.254
Block P,Chemistry,172.16.32.1,172.16.33.254,509,255.255.254.0,172.16.32.254
Block O,Biotech,172.16.36.1,172.16.36.253,253,255.255.255.0,172.16.36.254
Block N/I,Bio/Env,172.16.40.1,172.16.41.254,509,255.255.254.0,172.16.40.254
Block M,Civil,172.16.44.1,172.16.45.254,509,255.255.254.0,172.16.44.254
Block L,Physics,172.16.48.1,172.16.49.254,509,255.255.254.0,172.16.48.254
Block K,Chemical,172.16.52.1,172.16.53.254,509,255.255.254.0,172.16.52.254
Block J,Energy/Nano,172.16.56.1,172.16.57.254,509,255.255.254.0,172.16.56.254
Block I,Env/CIF,172.16.60.1,172.16.60.253,253,255.255.255.0,172.16.60.254
Block F,HSS,172.16.64.1,172.16.64.253,253,255.255.255.0,172.16.64.254
Block E,Maths,172.16.68.1,172.16.71.254,1021,255.255.252.0,172.16.68.254
Block C/D,Mechanical,172.16.72.1,172.16.75.254,1021,255.255.252.0,172.16.72.254
Lecture Complex, ,172.16.80.1,172.16.80.125,125,255.255.255.128,172.16.80.126
Auditorium, ,172.16.81.1,172.16.81.126,125,255.255.255.128,172.16.81.126
TIC, ,172.16.83.1,172.16.83.253,253,255.255.255.0,172.16.83.254
Quarter/GH,"C,D,E,F/GH",172.16.108.1,172.16.111.253,1021,255.255.252.0,172.16.111.254
Quarter,"A,B",10.100.100.1,10.100.100.253,253,255.255.255.0,10.100.100.254
Conf Centre, ,172.16.88.1,172.16.88.253,253,255.255.255.0,172.16.88.254
Guest House, ,172.16.100.1,172.16.100.253,253,255.255.254.0,172.16.100.254
SAC, ,172.16.101.1,172.16.101.254,254,,
Medical, ,172.16.102.1,172.16.102.253,253,255.255.255.0,172.16.102.254
EPABX, ,172.16.90.1,172.16.90.62,62,255.255.255.192,172.16.90.1
WIFI FAC, ,10.150.0.2,10.150.1.254,509,255.255.254.0,10.150.0.3
WIFI Staff, ,10.150.8.2,10.150.9.254,509,255.255.254.0,10.150.8.3
WIFI Guest, ,10.150.16.2,10.150.16.254,253,255.255.255.0,10.150.16.3
WIFI Stud, ,10.150.32.2,10.150.39.254,2045,255.255.248.0,10.150.32.1
Married Hostel, ,10.17.0.1,10.17.3.254,1021,255.255.252.0,10.17.0.254
Siang Hostel, ,10.3.0.1,10.3.3.254,1021,255.255.252.0,10.3.0.254
Manas Hostel, ,10.4.0.1,10.4.63.254,16381,255.255.192.0,10.4.0.254
Dihing Hostel, ,10.0.0.1,10.0.3.254,1021,255.255.252.0,10.0.0.254
Dibang Hostel, ,10.8.0.1,10.8.63.254,16381,255.255.192.0,10.8.0.254
Umiam Hostel, ,10.11.0.1,10.11.63.254,16381,255.255.192.0,10.11.0.254
Barak Hostel, ,10.10.0.1,10.10.63.254,16381,255.255.192.0,10.10.0.254
Kameng Hostel, ,10.9.0.1,10.9.63.254,16381,255.255.192.0,10.9.0.254
Subansiri Hostel, ,10.16.0.1,10.16.63.254,16381,255.255.192.0,10.16.0.254
Kapili Hostel, ,10.1.0.1,10.1.3.254,1021,255.255.252.0,10.1.0.254
Brahmaputra Hostel, ,10.12.0.1,10.12.63.254,16381,255.255.192.0,10.12.0.254
Dhansiri Hostel, ,10.18.0.1,10.18.3.254,1021,255.255.252.0,10.18.0.254
